Autor,Gênero,Coautores Diretos,Centralidade Grau,Intermediacao (Betweenness),Proximidade (Closeness)
Guido L. S. Filho,Masculino,6,0.005352,0.0,0.005352
Vagner F. Santana,Masculino,6,0.005352,0.0,0.006021
Silvia C. S. Bianchi,Feminino,6,0.005352,0.0,0.006021
Marco A. V. M. Vasconcelos,Masculino,6,0.005352,0.0,0.005352
Claudia Motta,Feminino,6,0.005352,0.00253,0.11831
Isomar Lima,Masculino,6,0.005352,2e-06,0.089238
Adriana Dantas,Feminino,6,0.005352,2e-06,0.089238
Bruna Diir,Feminino,6,0.005352,0.002205,0.102908
Luis Duarte,Masculino,6,0.005352,0.0,0.005352
Yuri Morais,Masculino,6,0.005352,0.0,0.005352
Regina M. Silveira,Feminino,6,0.005352,0.0,0.005352
Joao P. F. Oliveira,Masculino,6,0.005352,0.0,0.005352
Talles Brito,Masculino,6,0.005352,0.0,0.005352
Barbara P. Caetano,Feminino,6,0.005352,3e-06,0.075136
Gabriel Reganati,Masculino,6,0.005352,0.0,0.096081
Silvia Valentini,Feminino,6,0.005352,0.0,0.096081
Gustavo Martins,Masculino,6,0.005352,0.000843,0.090234
Luis A. E. Silva,Masculino,6,0.005352,0.0,0.005352
Jano M. Souza,Masculino,6,0.005352,0.012308,0.108476
Carlos Oliveira,Masculino,6,0.005352,0.003352,0.111567
Carina Missae,Feminino,6,0.005352,0.0,0.006021
Elaine N. Watanabe,Feminino,6,0.005352,0.0,0.006021
Orivaldo L. Tavares,Masculino,6,0.005352,0.004191,0.081094
Caio Valente,Masculino,6,0.005352,0.0,0.096081
Thiago F. Silva,Masculino,6,0.005352,0.0,0.096081
Sirius T. F. Silva,Masculino,6,0.005352,0.000164,0.118646
Karen Moreschi,Feminino,6,0.005352,0.0,0.093049
Cicero Jupi,Masculino,6,0.005352,0.0,0.093049
Tiago H. S. Leite,Masculino,6,0.005352,2e-06,0.08526
Daniel G. Costa,Masculino,6,0.005352,1.6e-05,0.005464
Fabio Baia,Masculino,6,0.005352,0.0,0.093049
Mauro M. Mattos,Masculino,6,0.005352,0.000153,0.021057
Ricardo A. Costa,Masculino,6,0.005352,4e-06,0.066875
Vania Carvalho,Feminino,6,0.005352,1e-06,0.005352
Marcelle P. Mota,Feminino,6,0.005352,0.000128,0.081068
Luciana P. Araujo,Feminino,6,0.005352,0.000153,0.021057
Edilson F. Costa,Masculino,6,0.005352,0.0,0.093049
Artur Machado,Masculino,6,0.005352,1e-06,0.005352
Aida Ferreira,Feminino,6,0.005352,1e-06,0.005352
Bruno Bione,Masculino,6,0.005352,1e-06,0.005352
Andreza C. Santos,Feminino,6,0.005352,0.00016,0.115795
Raimundo Barreto,Masculino,5,0.00446,0.0,0.00446
Luis Rivero,Masculino,5,0.00446,0.0,0.00446
Aurea Melo,Feminino,5,0.00446,0.0,0.00446
Gabriel S. Barreto,Masculino,5,0.00446,4e-06,0.004857
Bernardo Scarambone,Masculino,5,0.00446,0.0,0.081702
Desiree Scarambone,Feminino,5,0.00446,0.0,0.081702
Leandro Galvão,Masculino,5,0.00446,0.0,0.081702
Thiago C. Jesus,Masculino,5,0.00446,4e-06,0.004857
Francisco V. S. Pinheiro,Masculino,5,0.00446,0.0,0.00519
Maria E. L. Silva,Feminino,5,0.00446,0.0,0.00519
Ronier S. Lima,Masculino,5,0.00446,0.0,0.00519
Carla I. M. Bezerra,Feminino,5,0.00446,0.0,0.00519
Isa B. C. Neves,Feminino,5,0.00446,0.0,0.082023
Federico Costa,Masculino,5,0.00446,0.0,0.082023
Hussein Khalil,Masculino,5,0.00446,0.0,0.082023
Joao P. S. J. Costa,Masculino,5,0.00446,0.0,0.089846
Mario A. R. Dantas,Masculino,5,0.00446,0.0,0.089846
Bruno C. Silva,Masculino,5,0.00446,0.0,0.089846
Italo Ribeiro,Masculino,5,0.00446,0.0,0.089846
Renato P. Conceicao,Masculino,5,0.00446,0.0,0.089846
Fernando Nogueira,Masculino,5,0.00446,0.0,0.081702
Marcos B. Pereira,Masculino,5,0.00446,1e-06,0.004857
Marcos Xavier,Masculino,5,0.00446,0.0,0.077651
Paulo Victor,Masculino,5,0.00446,0.0,0.077651
Richard Guedes,Masculino,5,0.00446,0.0,0.077651
Welton P. L. Felix,Masculino,5,0.00446,0.0,0.009759
