Autor,Gênero,Coautores Diretos,Centralidade Grau,Intermediacao (Betweenness),Proximidade (Closeness)
Antonio J. Alencar,Masculino,2,0.001784,0.0,0.075956
Cristiano Fuschilo,Masculino,2,0.001784,0.0,0.075956
Julio C. Duarte,Masculino,2,0.001784,2e-06,0.001784
Avanilde Kemczinski,Feminino,2,0.001784,0.0,0.015187
Nathalia M. Nascimento,Feminino,2,0.001784,0.0,0.107085
Washington C. P. Correia,Masculino,2,0.001784,0.0,0.090364
Alessandra Ponte,Feminino,2,0.001784,0.0,0.0992
Carlos A. S. Franco,Masculino,2,0.001784,0.0,0.099833
Marco A. Balieiro,Masculino,2,0.001784,0.0,0.080546
Samuel F. S. Junior,Masculino,2,0.001784,0.0,0.080546
Eduardo R. Monteiro,Masculino,2,0.001784,0.0,0.080963
Washington J. S. F. Rocha,Masculino,2,0.001784,0.0,0.003362
Joao P. J. Peixoto,Masculino,2,0.001784,0.0,0.003362
Joseane P. Santos,Feminino,2,0.001784,0.0,0.069567
Raphael C. Freitas,Masculino,2,0.001784,0.0,0.069567
Priscila C. Scovino,Feminino,2,0.001784,0.0,0.001784
Gabriel Balestrin,Masculino,2,0.001784,0.0,0.020372
Thiago R. Almeida,Masculino,2,0.001784,0.0,0.089749
Antonio Ferreira,Masculino,2,0.001784,0.0,0.082591
Claudio Sapateiro,Masculino,2,0.001784,0.0,0.082591
Luiz P. S. Alves,Masculino,2,0.001784,0.0,0.092842
Alexandre Zanatta,Masculino,2,0.001784,0.0,0.069567
Jessica Bosio,Feminino,2,0.001784,0.0,0.069567
Filipe D. Coelho,Masculino,2,0.001784,0.0,0.060983
Jason Carter,Masculino,2,0.001784,0.0,0.015187
Eduardo Jandre,Masculino,2,0.001784,0.0,0.092773
Lucas E. R. Freitas,Masculino,2,0.001784,0.0,0.019731
Cassiano L. C. Santos,Masculino,2,0.001784,0.0,0.001784
Aline A. G. Samim,Feminino,2,0.001784,0.0,0.001784
Cleber J. L. Santana,Masculino,2,0.001784,0.0,0.001784
Leandro Andrade,Masculino,2,0.001784,0.0,0.001784
Tamires L. Coutinho,Feminino,2,0.001784,0.0,0.001784
Gustavo Carvalho,Masculino,2,0.001784,0.0,0.102908
Pedro J. S. Carneiro,Masculino,2,0.001784,0.0,0.066803
Geber L. Ramalho,Masculino,2,0.001784,0.0,0.001784
Juliana M. O. Santos,Feminino,2,0.001784,0.0,0.002788
Debora A. Santos,Feminino,2,0.001784,0.0,0.002788
Ana L. T. Romano,Feminino,2,0.001784,0.0,0.003643
Helio H. Villena,Masculino,2,0.001784,0.0,0.003643
Livia C. Gouvea,Feminino,2,0.001784,0.0,0.111171
Rodrigo Andrade,Masculino,2,0.001784,0.0,0.09385
Jivago Medeiros,Masculino,2,0.001784,0.0,0.09385
Stephany Vitorio,Feminino,2,0.001784,0.0,0.004078
Mariana Maia,Feminino,2,0.001784,0.0,0.004078
Cleyton Slaviero,Masculino,2,0.001784,0.0,0.09877
Amanda C. Teixeira,Feminino,2,0.001784,0.0,0.001784
Liadina C. Lima,Feminino,2,0.001784,0.0,0.002379
Nathalino P. Britto,Masculino,2,0.001784,0.0,0.002379
Daniel Paiva,Masculino,2,0.001784,2e-06,0.001784
Bruno Cavalheiro,Masculino,2,0.001784,0.0,0.104148
Dariane Abich,Feminino,2,0.001784,0.0,0.104148
Carina F. Alves,Feminino,2,0.001784,0.0,0.001784
Raphael L. B. Barros,Masculino,2,0.001784,0.0,0.001784
Raquel L. Santos,Feminino,2,0.001784,0.0,0.014967
Bernardo A. M. Mattos,Masculino,2,0.001784,0.0,0.014967
Antonio A. F. Loureiro,Masculino,2,0.001784,0.0,0.001784
Linnyer B. Ruiz,Feminino,2,0.001784,0.0,0.001784
Thais R. M. B. Silva,Feminino,2,0.001784,0.0,0.001784
Lucas A. S. Merlo,Masculino,2,0.001784,0.0,0.080832
Ricardo A. Falbo,Masculino,2,0.001784,0.0,0.001784
Leonardo E. A. Alves,Masculino,2,0.001784,0.0,0.106948
Silas L. Filho,Masculino,2,0.001784,0.0,0.107223
Marcelo P. Guimaraes,Masculino,2,0.001784,0.0,0.001784
Adriano Rivolli,Masculino,2,0.001784,0.0,0.001784
Samuel Apolonio,Masculino,2,0.001784,0.0,0.111319
Renata S. S. Guizzardi,Feminino,2,0.001784,0.0,0.080832
Eduardo Silva,Masculino,2,0.001784,0.0,0.080832
Paulo S. M. Santos,Masculino,2,0.001784,0.0,0.085464
Miriam O. Santos,Feminino,2,0.001784,0.0,0.081252
Arthur G. B. C. Urpia,Masculino,2,0.001784,0.0,0.001784
Nelson N. T. Junior,Masculino,2,0.001784,0.0,0.001784
Bruno N. Machado,Masculino,2,0.001784,0.0,0.001784
Tiago N. Veloso,Masculino,2,0.001784,0.0,0.0992
Licia C. Nascimento,Feminino,2,0.001784,0.0,0.0992
Gabryele A. B. Prado,Feminino,2,0.001784,0.0,0.109185
Eduardo Figueiredo,Masculino,2,0.001784,0.0,0.010986
Kattiana Constantino,Feminino,2,0.001784,0.0,0.010986
Vinicius C. Pereira,Masculino,2,0.001784,0.0,0.001784
Mateus S. Monteiro,Masculino,2,0.001784,0.0,0.001784
Luis Santos,Masculino,2,0.001784,0.0,0.089749
Bruno Merlin,Masculino,2,0.001784,0.000843,0.076466
Jean M. R. Costa,Masculino,2,0.001784,0.0,0.080546
Eric C. Silveira,Masculino,2,0.001784,0.0,0.019731
Luciana A. Almeida,Feminino,2,0.001784,2.7e-05,0.080911
Flavio E. O. E. Silva,Masculino,2,0.001784,0.0,0.075046
Ana C. Maciel,Feminino,2,0.001784,0.0,0.092636
Tanya A. Felipe,Feminino,2,0.001784,0.0,0.002379
Ludmilla F. O. Galvao,Feminino,2,0.001784,0.0,0.002379
Tanya A. F. Souza,Feminino,2,0.001784,0.0,0.002379
Lucineide R. Silva,Feminino,2,0.001784,0.0,0.002379
Dilvan A. Moreira,Masculino,2,0.001784,0.0,0.001784
Jeane S. F. Teixeira,Feminino,2,0.001784,0.0,0.014915
Eveline J. V. Sa,Feminino,2,0.001784,0.0,0.014915
Victor J. Salles,Masculino,2,0.001784,0.0,0.014967
Rodrigo F. Silva,Masculino,2,0.001784,0.0,0.014967
Marcio P. Lima,Masculino,2,0.001784,0.0,0.089749
Luciana C. C. Salgado,Feminino,2,0.001784,0.0,0.001784
Sean Siqueira,Masculino,2,0.001784,0.0,0.099161
Aline M. Marques,Feminino,2,0.001784,0.0,0.099161
Marcos Kalinowski,Masculino,2,0.001784,0.0,0.099833
Jose O. Gomes,Masculino,2,0.001784,0.0,0.099833
Renata G. Machado,Feminino,2,0.001784,0.0,0.099833
Jefferson E. Simoes,Masculino,2,0.001784,0.0,0.09385
Luis G. Almeida,Masculino,2,0.001784,0.0,0.09385
Matheus G. Pires,Masculino,2,0.001784,0.0,0.003122
Macio J. Mantau,Masculino,2,0.001784,0.0,0.019731
Andrei A. Villa,Masculino,2,0.001784,0.0,0.019731
Antonio A. A. Rocha,Masculino,2,0.001784,2e-06,0.001784
Claudia Barsottini,Feminino,2,0.001784,0.0,0.060337
Cleo Billa,Masculino,2,0.001784,0.0,0.060337
David B. Ramos,Masculino,2,0.001784,0.0,0.001784
Carla D. Berkenbrock,Feminino,2,0.001784,0.0,0.015468
Alan Godoy,Masculino,2,0.001784,0.0,0.001784
Romis Attux,Masculino,2,0.001784,0.0,0.001784
Leonardo M. Barbosa,Masculino,2,0.001784,0.0,0.001784
Morganna C. Diniz,Feminino,2,0.001784,0.0,0.099161
Edmilson B. Rocha,Masculino,2,0.001784,0.0,0.099161
Luziane F. Mendonca,Feminino,2,0.001784,0.0,0.106948
Patricia Z. Lima,Feminino,2,0.001784,0.0,0.106948
Hermes Senger,Masculino,2,0.001784,0.0,0.002379
Rogerio A. Rondini,Masculino,2,0.001784,0.0,0.002379
Guilherme H. Travassos,Masculino,2,0.001784,0.0,0.099833
Helio O. Q. Junior,Masculino,1,0.000892,0.0,0.000892
Manoel G. M. Neto,Masculino,1,0.000892,0.0,0.000892
Eduardo T. Carlos,Masculino,1,0.000892,0.0,0.098228
Josiane M. Pinheiro,Feminino,1,0.000892,0.0,0.004695
Nattan S. Lobato,Masculino,1,0.000892,0.0,0.003362
Andre L. S. Freitas,Masculino,1,0.000892,0.0,0.001189
Jauvane C. Oliveira,Masculino,1,0.000892,0.0,0.000892
Bruno M. Pires,Masculino,1,0.000892,0.0,0.019577
Joao V. T. Costa,Masculino,1,0.000892,0.0,0.078873
Karolina I. Azevedo,Feminino,1,0.000892,0.0,0.069548
Sofia M. B. Machado,Feminino,1,0.000892,0.0,0.084257
Francisco P. A. Medeiros,Masculino,1,0.000892,0.0,0.000892
Alex S. Gomes,Masculino,1,0.000892,0.0,0.000892
Luma Seixas,Feminino,1,0.000892,0.0,0.104105
Lorena S. Avila,Feminino,1,0.000892,0.0,0.069548
Vinicius P. M. Freire,Masculino,1,0.000892,0.0,0.000892
Daniel R. Figueiredo,Masculino,1,0.000892,0.0,0.000892
Marcio S. Camilo,Masculino,1,0.000892,0.0,0.089238
Leon F. Nascimento,Masculino,1,0.000892,0.0,0.093815
Matheus C. Agostinho,Masculino,1,0.000892,0.0,0.000892
George Valenca,Masculino,1,0.000892,0.0,0.000892
Celso Hiirata,Masculino,1,0.000892,0.0,0.065838
Carlos E. Stefani,Masculino,1,0.000892,0.0,0.000892
Marcelo Duduchi,Masculino,1,0.000892,0.0,0.000892
Ronney M. Castro,Masculino,1,0.000892,0.0,0.077989
Patricia O. Santos,Feminino,1,0.000892,0.0,0.084257
Claiton M. Correa,Masculino,1,0.000892,0.0,0.000892
Rafael B. Parizi,Masculino,1,0.000892,0.0,0.000892
Jesiel V. Silva,Masculino,1,0.000892,0.0,0.000892
Gustavo H. S. Alexandre,Masculino,1,0.000892,0.0,0.000892
Andressa Kappaun,Feminino,1,0.000892,0.0,0.106903
Jaziel S. Lobo,Masculino,1,0.000892,0.0,0.09112
Edith Z. S. Mamani,Feminino,1,0.000892,0.0,0.095897
Davi C. M. Nascimento,Masculino,1,0.000892,0.0,0.089717
Renato M. B. Alves,Masculino,1,0.000892,0.0,0.090267
Marcelo Fornazin,Masculino,1,0.000892,0.0,0.087219
Frederick M. C. V. Amstel,Masculino,1,0.000892,0.0,0.000892
Kevin L. Santos,Masculino,1,0.000892,0.0,0.000892
Carlos A. F. Gama,Masculino,1,0.000892,0.0,0.106721
Angelina Ziesemer,Feminino,1,0.000892,0.0,0.000892
Joao B. S. Oliveira,Masculino,1,0.000892,0.0,0.000892
Jonatas C. Santos,Masculino,1,0.000892,0.0,0.001606
Vitor Q. Campos,Masculino,1,0.000892,0.0,0.089717
Noemi P. Pinto,Feminino,1,0.000892,0.0,0.093815
Germana M. Nobrega,Feminino,1,0.000892,0.0,0.000892
Fernando W. Cruz,Masculino,1,0.000892,0.0,0.000892
Francisco Oliveira,Masculino,1,0.000892,0.0,0.001189
Lais Ribeiro,Feminino,1,0.000892,0.0,0.000892
Patricia S. Bassani,Feminino,1,0.000892,0.0,0.000892
Bruno C. C. Costa,Masculino,1,0.000892,0.0,0.000892
Rafael M. Alves,Masculino,1,0.000892,0.0,0.000892
Daniel C. Biscalchin,Masculino,1,0.000892,0.0,0.060323
Fernando C. D. Silva,Masculino,1,0.000892,0.0,0.093815
Laino Santos,Masculino,1,0.000892,0.0,0.003806
Lucas Crisostomo,Masculino,1,0.000892,0.0,0.001189
Rodrigo M. Araujo,Masculino,1,0.000892,0.0,0.000892
Marcelo G. Malcher,Masculino,1,0.000892,0.0,0.001189
Adabriand Furtado,Masculino,1,0.000892,0.0,0.002039
Ricardo D. Rodriguez,Masculino,1,0.000892,0.0,0.099122
Mateus F. L. Pelanda,Masculino,1,0.000892,0.0,0.000892
Andre L. C. Ottoni,Masculino,1,0.000892,0.0,0.000892
Kellyne M. Santos,Feminino,1,0.000892,0.0,0.000892
Cintia R. C. Silva,Feminino,1,0.000892,0.0,0.093815
Matheus P. P. Feijoo,Masculino,1,0.000892,0.0,0.100634
Straus Michalsky,Masculino,1,0.000892,0.0,0.095897
Alline Lemos,Feminino,1,0.000892,0.0,0.080521
Analia Amandi,Feminino,1,0.000892,0.0,0.000892
Daniela Godoy,Feminino,1,0.000892,0.0,0.000892
Marcos S. Sunye,Masculino,1,0.000892,0.0,0.000892
Josiney Souza,Masculino,1,0.000892,0.0,0.000892
Gleice L. G. C. Santos,Feminino,1,0.000892,0.0,0.000892
Thyago Tenorio,Masculino,1,0.000892,0.0,0.000892
Rafael Prikladnicki,Masculino,1,0.000892,0.0,0.000892
Romulo C. Batista,Masculino,1,0.000892,0.0,0.000892
Francisco J. S. E. Silva,Masculino,1,0.000892,0.0,0.000892
Rafael G. Barradas,Masculino,1,0.000892,0.0,0.084257
Luciano Marin,Masculino,1,0.000892,0.0,0.000892
Regina Marin,Feminino,1,0.000892,0.0,0.000892
Airan P. Camargo,Masculino,1,0.000892,0.0,0.001189
Alexandre M. Fava,Masculino,1,0.000892,0.0,0.019577
Thereza P. P. Padilha,Feminino,1,0.000892,0.0,0.000892
Adriana N. Lacerda,Feminino,1,0.000892,0.0,0.000892
Karen S. Figueiredo,Feminino,1,0.000892,0.0,0.093815
Luiz Ribeiro,Masculino,1,0.000892,0.0,0.000892
Ana C. Garcia,Feminino,1,0.000892,0.0,0.000892
Fabiano G. Rocha,Masculino,1,0.000892,0.0,0.001189
Alexandre Skyrme,Masculino,1,0.000892,0.0,0.001189
Frank H. Borsato,Masculino,1,0.000892,0.0,0.000892
Ivanilton Polato,Masculino,1,0.000892,0.0,0.000892
Emiliandro Firmino,Masculino,1,0.000892,0.0,0.075795
Matheus Ferreira,Masculino,1,0.000892,0.0,0.094487
Domenica M. C. F. Goncalves,Feminino,1,0.000892,0.0,0.102194
Ana C. Lima,Feminino,1,0.000892,0.0,0.003806
Juliana G. Postal,Feminino,1,0.000892,0.0,0.004695
Adilson R. Silva,Masculino,1,0.000892,0.0,0.099122
Samanta F. Aires,Feminino,1,0.000892,0.0,0.000892
Jair C. Leite,Masculino,1,0.000892,0.0,0.000892
Vinicius B. Souza,Masculino,1,0.000892,0.0,0.001606
Flavio F. Silva,Masculino,1,0.000892,0.0,0.001189
Delio D. A. Hofelmann,Masculino,1,0.000892,0.0,0.019577
Priscila F. K. Silveira,Feminino,1,0.000892,0.0,0.002478
Sabrina S. Panceri,Feminino,1,0.000892,0.0,0.060454
Fabiane B. V. Benitti,Feminino,1,0.000892,0.0,0.01182
Diana C. A. C,Feminino,1,0.000892,0.0,0.099793
Cristiane N. Nobre,Feminino,1,0.000892,0.0,0.000892
Eduardo R. Silva,Masculino,1,0.000892,0.0,0.069819
Rosimar Sobrinho,Feminino,1,0.000892,0.0,0.094487
Frederico T. D. O. Silva,Masculino,1,0.000892,0.0,0.093815
Juliana Fernandes,Feminino,1,0.000892,0.0,0.084257
Ana C. R. Santos,Feminino,1,0.000892,0.0,0.102194
Joao V. C. Mesquita,Masculino,1,0.000892,0.0,0.003806
Adja F. Andrade,Feminino,1,0.000892,0.0,0.000892
Paulo C. F. Sousa,Masculino,1,0.000892,0.0,0.000892
Philip K. Dunker,Masculino,1,0.000892,0.0,0.069819
Roni A. Dall Orsoletta,Masculino,1,0.000892,0.0,0.000892
Ig I. Bittencourt,Masculino,1,0.000892,0.0,0.000892
Alberto H. Faria,Masculino,1,0.000892,0.0,0.000892
Leonardo C. Cruz,Masculino,1,0.000892,0.0,0.000892
Marcelo K. Zuffo,Masculino,1,0.000892,0.0,0.000892
Leticia L. Leite,Feminino,1,0.000892,0.0,0.000892
Larissa M. C. Hirai,Feminino,1,0.000892,0.0,0.001189
Ricarth Lima,Masculino,1,0.000892,0.0,0.003806
Glauco Todesco,Masculino,1,0.000892,0.0,0.000892
Andrea Teixeira,Feminino,1,0.000892,0.0,0.094487
Edmar W. Oliveira,Masculino,1,0.000892,0.0,0.099793
Joao P. S. Cunha,Masculino,1,0.000892,0.0,0.001189
Suelyn Concentius,Feminino,1,0.000892,0.0,0.01182
Eduardo M. B. Faria,Masculino,0,0.0,0.0,0.0
Wagner N. Silva,Masculino,0,0.0,0.0,0.0
Martony D. Silva,Masculino,0,0.0,0.0,0.0
Vasco Furtado,Masculino,0,0.0,0.0,0.0
Marcel P. Caraciolo,Masculino,0,0.0,0.0,0.0
Luciano Gallegos,Masculino,0,0.0,0.0,0.0
Fernando B. Pinto,Masculino,0,0.0,0.0,0.0
